"LocID","Location"
1,"Autauga"
2,"Baldwin"
3,"Barbour"
4,"Blount"
5,"Calhoun"
6,"Cherokee"
7,"Chilton"
8,"Clay"
9,"Cleburne"
10,"Coffee"
11,"Colbert"
12,"Cullman"
13,"Dale"
14,"Dallas"
15,"DeKalb"
16,"Elmore"
17,"Etowah"
18,"Fayette"
19,"Geneva"
20,"Houston"
21,"Jackson"
22,"Jefferson"
23,"Lauderdale"
24,"Lawrence"
25,"Lee"
26,"Macon"
27,"Madison"
28,"Marengo"
29,"Marshall"
30,"Milton"
31,"Mobile"
32,"Monroe"
33,"Montgomery"
34,"Morgan"
35,"Pike"
36,"Shelby"
37,"StClair"
38,"Talladega"
39,"Tuscaloosa"
40,"Unknown"
41,"Montomery"
42,"Tuscloosa"
